siteplot,lat,lon,site,plot,comb2,native,longevity,Average.Spring2012,Average.Spring2013
AnkE.DRFC,-32.20948524,115.9112804,AnkE,DRFC,DR,native,perennial,3.06,6.58
AnkE.DRFT,-32.20950091,115.9110913,AnkE,DRFT,DR,native,perennial,5.77,5.73
AnkE.DROC,-32.20951776,115.9115179,AnkE,DROC,DR,native,perennial,4.78,3.02
AnkE.DUFC,-32.20974357,115.9112547,AnkE,DUFC,DU,native,perennial,11.63,6.15
AnkE.DUFT,-32.20973913,115.9110745,AnkE,DUFT,DU,native,perennial,18.02,13.22
AnkE.DUOC,-32.2097942,115.9115621,AnkE,DUOC,DU,native,perennial,15.13,4.4
AnkE.SRFC,-32.20954106,115.9119813,AnkE,SRFC,SR,native,perennial,2.54,2.96
AnkE.SRFT,-32.20954676,115.9121494,AnkE,SRFT,SR,native,perennial,2.16,2.11
AnkE.SROC,-32.20953637,115.9117176,AnkE,SROC,SR,native,perennial,7.16,3.92
AnkE.SUFC,-32.20977735,115.9119968,AnkE,SUFC,SU,native,perennial,1.81,2.79
AnkE.SUFT,-32.20976654,115.9121563,AnkE,SUFT,SU,native,perennial,4.13,2.31
AnkE.SUOC,-32.2097942,115.9117411,AnkE,SUOC,SU,native,perennial,12.75,9.02
AnkM.DRFC,-32.20946177,115.9100632,AnkM,DRFC,DR,native,perennial,6.22,4.92
AnkM.DRFT,-32.20946495,115.9098495,AnkM,DRFT,DR,native,perennial,5.79,10.56
AnkM.DROC,-32.20945582,115.9095882,AnkM,DROC,DR,native,perennial,3.59,5.42
AnkM.DUFC,-32.2096429,115.9100361,AnkM,DUFC,DU,native,perennial,11.03,7.59
AnkM.DUFT,-32.20965464,115.909869,AnkM,DUFT,DU,native,perennial,9.73,15.67
AnkM.DUOC,-32.20986217,115.909599,AnkM,DUOC,DU,native,perennial,6.84,3.19
AnkM.SRFC,-32.20940796,115.9089625,AnkM,SRFC,SR,native,perennial,2,2.68
AnkM.SRFT,-32.20943344,115.9090903,AnkM,SRFT,SR,native,perennial,1.5,2.02
AnkM.SROC,-32.20945079,115.9093811,AnkM,SROC,SR,native,perennial,1.32,2.55
AnkM.SUFC,-32.20981666,115.9091292,AnkM,SUFC,SU,native,perennial,4.43,5.44
AnkM.SUFT,-32.20967207,115.9091013,AnkM,SUFT,SU,native,perennial,6.44,5.19
AnkM.SUOC,-32.20967408,115.9093856,AnkM,SUOC,SU,native,perennial,9.19,5.83
AnkW.DRFC,-32.20925256,115.89941,AnkW,DRFC,DR,native,perennial,5.69,4.79
AnkW.DRFT,-32.16626831,115.9270348,AnkW,DRFT,DR,native,perennial,6.79,4.02
AnkW.DROC,-32.20922087,115.8991455,AnkW,DROC,DR,native,perennial,15.28,8.04
AnkW.DUFC,-32.20953084,115.899378,AnkW,DUFC,DU,native,perennial,32.94,18.69
AnkW.DUFT,-32.20951558,115.8995801,AnkW,DUFT,DU,native,perennial,25.23,11.27
AnkW.DUOC,-32.20937016,115.8991648,AnkW,DUOC,DU,native,perennial,13.94,6.21
AnkW.SRFC,-32.20925951,115.8999511,AnkW,SRFC,SR,native,perennial,4.28,4.58
AnkW.SRFT,-32.20924065,115.9000925,AnkW,SRFT,SR,native,perennial,9.15,1.67
AnkW.SROC,-32.20902817,115.9013502,AnkW,SROC,SR,native,perennial,2.97,4.08
AnkW.SUFC,-32.20948809,115.8999526,AnkW,SUFC,SU,native,perennial,10.09,5.02
AnkW.SUFT,-32.20949052,115.900123,AnkW,SUFT,SU,native,perennial,14.85,3.19
AnkW.SUOC,-32.20943771,115.9013475,AnkW,SUOC,SU,native,perennial,10.16,3.85
ForNW.DRFC,-32.16348779,115.9266305,ForNW,DRFC,DR,native,perennial,7.19,15.44
ForNW.DRFT,-32.16364872,115.9267092,ForNW,DRFT,DR,native,perennial,7.58,18.42
ForNW.DROC,-32.16330003,115.9269725,ForNW,DROC,DR,native,perennial,6.25,2.63
ForNW.DUFC,-32.16339801,115.9268439,ForNW,DUFC,DU,native,perennial,19.81,17.56
ForNW.DUFT,-32.16354,115.9269135,ForNW,DUFT,DU,native,perennial,12.69,11.08
ForNW.DUOC,-32.16346675,115.9264022,ForNW,DUOC,DU,native,perennial,17.19,15.54
ForNW.SRFC,-32.16386313,115.9268157,ForNW,SRFC,SR,native,perennial,3.25,11.84
ForNW.SRFT,-32.16298319,115.9264485,ForNW,SRFT,SR,native,perennial,3.19,5.73
ForNW.SROC,-32.16300901,115.9268467,ForNW,SROC,SR,native,perennial,3.5,1.77
ForNW.SUFC,-32.16376171,115.9269879,ForNW,SUFC,SU,native,perennial,15.5,15.06
ForNW.SUFT,-32.16287633,115.9266317,ForNW,SUFT,SU,native,perennial,17.04,10.17
ForNW.SUOC,-32.16413604,115.9271339,ForNW,SUOC,SU,native,perennial,8.13,15.04
ForSE.DRFC,-32.16647065,115.9325549,ForSE,DRFC,DR,native,perennial,2.72,2.94
ForSE.DRFT,-32.16642254,115.9325789,ForSE,DRFT,DR,native,perennial,4.44,2.63
ForSE.DROC,-32.16663016,115.9327638,ForSE,DROC,DR,native,perennial,1.38,7.75
ForSE.DUFC,-32.16625155,115.9326608,ForSE,DUFC,DU,native,perennial,15.09,6.63
ForSE.DUFT,-32.1663342,115.9326489,ForSE,DUFT,DU,native,perennial,13.38,3
ForSE.DUOC,-32.16593547,115.9328131,ForSE,DUOC,DU,native,perennial,6.19,2.29
ForSE.SRFC,-32.16661323,115.9331528,ForSE,SRFC,SR,native,perennial,4.38,3.65
ForSE.SRFT,-32.16659471,115.9329768,ForSE,SRFT,SR,native,perennial,5.31,5.48
ForSE.SROC,-32.16672655,115.9329603,ForSE,SROC,SR,native,perennial,6.91,19.63
ForSE.SUFC,-32.16643168,115.933084,ForSE,SUFC,SU,native,perennial,16.75,8.83
ForSE.SUFT,-32.16620444,115.9331051,ForSE,SUFT,SU,native,perennial,15,5.25
ForSE.SUOC,-32.16631039,115.9333351,ForSE,SUOC,SU,native,perennial,3.06,1.69
ForSW.DRFC,-32.16643771,115.9271054,ForSW,DRFC,DR,native,perennial,5.28,9.19
ForSW.DRFT,-32.16627301,115.9270517,ForSW,DRFT,DR,native,perennial,6.4,3.42
ForSW.DROC,-32.16611182,115.927086,ForSW,DROC,DR,native,perennial,8,15.27
ForSW.DUFC,-32.16655229,115.9268875,ForSW,DUFC,DU,native,perennial,13.75,1.25
ForSW.DUFT,-32.1663979,115.9269029,ForSW,DUFT,DU,native,perennial,10.56,2.05
ForSW.DUOC,-32.16605474,115.9268888,ForSW,DUOC,DU,native,perennial,16.44,4.31
ForSW.SRFC,-32.16699595,115.9273928,ForSW,SRFC,SR,native,perennial,3.66,2.5
ForSW.SRFT,-32.16711137,115.927504,ForSW,SRFT,SR,native,perennial,5.35,3.94
ForSW.SROC,-32.16746944,115.9275589,ForSW,SROC,SR,native,perennial,3.91,6.29
ForSW.SUFC,-32.16702512,115.9272291,ForSW,SUFC,SU,native,perennial,2.47,0.71
ForSW.SUFT,-32.1670915,115.9272667,ForSW,SUFT,SU,native,perennial,11.92,2.88
ForSW.SUOC,-32.16742904,115.9274547,ForSW,SUOC,SU,native,perennial,10.69,3.85
